"(64.95833333333334, 1)","(63.81104651162791, 3)","(62.666666666666664, 5)","(62.32692307692308, 15)","(61.426829268292686, 13)","(60.27777777777778, 7)","(59.17796610169491, 10)","(57.2609649122807, 2)","(56.707044673539514, 6)","(55.41161616161616, 16)"
"(68.08333333333333, 15)","(67.67079207920793, 16)","(66.78156565656565, 4)","(66.50657894736842, 8)","(65.95628415300547, 10)","(65.0, 9)","(64.52295918367346, 18)","(58.70833333333333, 14)","(58.11594202898551, 7)","(58.095238095238095, 13)"
"(71.26785714285714, 2)","(59.25, 10)","(58.54761904761905, 15)","(53.9104609929078, 3)","(53.36764705882353, 7)","(53.26129943502824, 11)","(52.58333333333333, 13)","(52.56439393939394, 1)","(52.08333333333333, 5)","(52.08333333333333, 0)"
"(72.66666666666666, 15)","(71.31944444444444, 3)","(70.6295518207283, 16)","(68.38690476190476, 14)","(67.80153890824621, 18)","(64.93875502008032, 6)","(63.6060606060606, 9)","(62.63157894736842, 7)","(62.40243902439025, 0)","(61.778688524590166, 5)"
"(69.62808641975309, 16)","(68.72435897435898, 18)","(67.76190476190476, 13)","(66.92261904761905, 15)","(65.01529535864978, 6)","(62.25595238095238, 9)","(59.20833333333333, 11)","(57.53921568627451, 3)","(57.18103448275862, 1)","(56.541666666666664, 7)"
"(70.79166666666666, 13)","(68.72560975609755, 10)","(68.08333333333333, 11)","(67.44268077601411, 16)","(65.87763713080167, 6)","(65.86111111111111, 7)","(65.58928571428572, 14)","(64.89285714285714, 9)","(64.64224137931035, 1)","(64.08088235294117, 3)"
"(80.53156565656565, 18)","(69.8452380952381, 9)","(67.80602240896359, 13)","(67.65277777777777, 14)","(65.69059405940594, 11)","(65.46737213403881, 15)","(65.13333333333333, 6)","(57.814516129032256, 7)","(57.64351851851852, 1)","(56.30383895131086, 3)"
"(63.271929824561404, 23)","(50.53431372549019, 14)","(46.345588235294116, 15)","(46.16713483146067, 16)","(46.13297872340426, 21)","(46.125, 7)","(45.73684210526316, 1)","(45.581395348837205, 18)","(45.07954545454545, 11)","(44.67647058823529, 2)"
"(81.33964646464646, 16)","(69.82107843137254, 9)","(68.21153846153845, 14)","(66.82592915214866, 13)","(64.74441580756013, 6)","(64.52295918367346, 11)","(63.538003663003664, 15)","(57.40277777777778, 7)","(56.904761904761905, 1)","(56.304263565891475, 3)"
"(65.60493827160494, 1)","(55.85493827160494, 22)","(54.01893939393939, 7)","(53.39423076923077, 9)","(51.91203703703704, 15)","(51.38690476190476, 10)","(51.213615023474176, 2)","(50.80913978494624, 3)","(50.595588235294116, 5)","(50.02729885057471, 13)"
"(85.21785714285714, 21)","(52.15350877192982, 16)","(51.36261261261261, 15)","(51.1241134751773, 11)","(50.43817204301075, 6)","(50.324275362318836, 18)","(50.15752032520325, 3)","(50.15653153153153, 14)","(50.08622112211221, 1)","(49.65646258503401, 9)"
"(82.01785714285714, 20)","(55.617424242424235, 9)","(51.81666666666666, 23)","(51.52531152647975, 16)","(50.47771317829457, 15)","(50.26282051282051, 18)","(50.19261006289308, 11)","(50.01843657817109, 1)","(49.863095238095234, 6)","(49.49645390070921, 3)"
"(52.891975308641975, 19)","(44.61824324324324, 9)","(42.85526315789474, 23)","(41.14454277286136, 21)","(40.3030303030303, 1132)","(39.98744979919679, 5052)","(39.900872230080154, 2420)","(39.73252688172043, 3729)","(39.53661616161616, 269)","(39.18826380109566, 3187)"
"(63.271929824561404, 17)","(51.81666666666666, 21)","(45.76883561643835, 9)","(44.73611111111111, 20)","(42.931372549019606, 1154)","(42.328947368421055, 22)","(41.80028735632184, 24)","(41.291666666666664, 4747)","(40.93023255813954, 19)","(39.34946236559139, 2193)"
"(49.19444444444444, 20)","(48.032051282051285, 7)","(46.86693548387096, 4853)","(46.666666666666664, 15)","(45.859848484848484, 21)","(45.63387978142076, 16)","(45.416666666666664, 11)","(45.32142857142857, 10)","(45.291666666666664, 9)","(45.078828828828826, 5)"
"(48.76190476190476, 7)","(47.59748427672956, 10)","(46.95075757575758, 19)","(42.58333333333333, 15)","(40.74873737373737, 1)","(40.31159420289855, 5)","(39.90496254681648, 2)","(39.45833333333333, 3)","(39.314655172413794, 179)","(38.91228070175438, 13)"
"(48.95575221238938, 56)","(48.91745283018868, 343)","(46.84722222222222, 27)","(45.78525641025641, 412)","(45.765306122448976, 55)","(45.65425531914894, 283)","(45.39772727272727, 288)","(45.21134020618557, 1398)","(44.575581395348834, 234)","(44.548850574712645, 240)"
"(68.18055555555554, 1066)","(49.03629032258065, 20)","(48.24324324324324, 21)","(47.95833333333333, 26)","(42.470238095238095, 2269)","(40.07909604519774, 1020)","(39.263888888888886, 474)","(39.1566091954023, 175)","(38.66025641025641, 332)","(38.220588235294116, 1962)"
"(56.998493975903614, 31)","(55.507183908045974, 30)","(53.71466244725738, 29)","(47.52925531914894, 711)","(46.46296296296296, 5493)","(44.93055555555556, 1525)","(44.75, 2665)","(44.43181818181818, 2225)","(44.375, 2146)","(43.866279069767444, 3429)"
"(55.77235772357723, 30)","(55.73997890295358, 28)","(50.67307692307692, 31)","(40.93659420289855, 1430)","(39.34166666666667, 2471)","(39.2560861423221, 991)","(39.15613553113553, 5731)","(39.124378109452735, 1372)","(39.06818181818182, 3821)","(39.047413793103445, 1239)"
"(57.80603448275862, 28)","(55.77235772357723, 29)","(51.269379844961236, 31)","(42.531786941580755, 711)","(42.25833333333333, 1430)","(41.83991228070175, 1239)","(41.68115942028985, 2049)","(41.509803921568626, 2187)","(41.40277777777778, 5731)","(41.13649425287356, 1325)"
"(58.44427710843374, 28)","(51.73449612403101, 30)","(48.621794871794876, 29)","(43.87546816479401, 1525)","(42.8010752688172, 711)","(42.056034482758626, 2225)","(40.375, 5493)","(39.64398734177215, 2665)","(39.26825842696629, 3996)","(38.595991561181435, 2146)"
"(46.97222222222222, 138)","(45.666666666666664, 1712)","(43.73550724637681, 239)","(43.19961240310077, 238)","(43.02813852813853, 96)","(42.68817204301075, 109)","(42.58333333333333, 743)","(42.51136363636364, 1912)","(42.39544513457557, 181)","(42.239177489177486, 233)"
"(49.29854368932039, 479)","(47.33796296296296, 720)","(47.19117647058823, 873)","(45.95682730923695, 807)","(44.45454545454545, 1464)","(43.35526315789474, 3322)","(42.993527508090615, 57)","(42.83333333333333, 1661)","(42.63636363636364, 1123)","(42.49596774193549, 3472)"
"(48.369623655913976, 38)","(44.34839357429719, 426)","(42.93201754385965, 1806)","(42.608058608058606, 425)","(42.154761904761905, 435)","(41.75, 434)","(40.879125412541256, 440)","(40.57657657657657, 2304)","(38.78360215053763, 451)","(38.782967032967036, 5403)"
"(43.233058608058606, 1650)","(35.54040404040404, 11)","(35.31962025316456, 15)","(33.049019607843135, 3729)","(32.833333333333336, 10)","(32.7725988700565, 24)","(30.55110062893082, 22)","(30.171985815602834, 5903)","(29.63755707762557, 19)","(28.916666666666664, 12)"
"(67.90277777777777, 1375)","(60.644379844961236, 1374)","(48.93055555555556, 132)","(45.95, 1713)","(45.58634020618557, 164)","(45.43935643564356, 165)","(45.410714285714285, 3820)","(44.27777777777778, 1659)","(43.6978021978022, 1813)","(43.19318181818182, 1835)"
"(57.828947368421055, 131)","(48.16416040100251, 314)","(47.949735449735456, 313)","(46.25, 611)","(45.858333333333334, 934)","(45.12499999999999, 5680)","(45.041666666666664, 295)","(44.731848184818475, 581)","(44.72222222222222, 132)","(43.966828478964395, 1620)"
"(49.176786521935774, 5322)","(48.523809523809526, 1157)","(48.018023643023646, 523)","(47.939516129032256, 34)","(47.86111111111111, 3240)","(47.53846153846153, 1705)","(46.59920634920634, 816)","(46.44819819819819, 910)","(45.98160173160173, 833)","(45.233333333333334, 5946)"
"(74.26666666666667, 45)","(72.65116279069767, 46)","(64.86486486486487, 44)","(64.28571428571428, 159)","(63.25581395348837, 43)","(63.116883116883116, 42)","(59.44444444444444, 41)","(57.94871794871795, 157)","(57.859078590785906, 47)","(56.073059360730596, 160)"
"(55.125, 48)","(53.625, 1724)","(51.93589743589743, 45)","(51.84299516908212, 156)","(51.197965571205, 155)","(50.373015873015866, 46)","(49.919117647058826, 167)","(49.675, 513)","(48.61373873873874, 808)","(48.10326086956522, 1977)"
"(61.76470588235294, 154)","(59.5360824742268, 159)","(59.09090909090909, 45)","(58.45679012345679, 39)","(58.23232323232323, 46)","(58.2183908045977, 44)","(57.666666666666664, 42)","(57.42424242424242, 43)","(51.743686868686865, 219)","(51.5439497716895, 808)"
"(72.89156626506025, 44)","(72.52631578947368, 43)","(69.15514592933948, 159)","(65.17241379310344, 157)","(63.80952380952381, 45)","(62.81439393939394, 2959)","(62.10526315789474, 46)","(62.077922077922075, 39)","(58.111111111111114, 41)","(57.85326086956522, 808)"
"(73.04347826086956, 44)","(72.52631578947368, 42)","(70.0280112044818, 159)","(66.25, 157)","(63.46153846153846, 46)","(62.325581395348834, 39)","(61.3664089347079, 2959)","(60.86021505376344, 45)","(58.4775641025641, 808)","(57.02020202020202, 41)"
"(75.42857142857143, 159)","(74.34782608695653, 46)","(73.04347826086956, 43)","(72.89156626506025, 42)","(67.14285714285714, 157)","(64.32432432432432, 39)","(63.95061728395062, 45)","(63.90243902439025, 158)","(63.36519607843137, 2959)","(58.67816091954023, 41)"
"(76.34408602150538, 46)","(73.2, 39)","(64.3956043956044, 159)","(63.45679012345679, 44)","(62.857142857142854, 42)","(62.58064516129032, 43)","(59.09090909090909, 41)","(58.56944444444444, 1724)","(57.96147672552167, 47)","(56.15686274509804, 157)"
"(77.20430107526882, 45)","(74.34782608695653, 44)","(72.18604651162791, 39)","(69.2436974789916, 159)","(66.4, 47)","(64.25531914893617, 158)","(64.23076923076923, 43)","(62.526315789473685, 42)","(59.04040404040404, 41)","(58.75, 157)"
"(66.4, 46)","(60.62706270627062, 48)","(60.333333333333336, 158)","(59.75922953451043, 45)","(59.09090909090909, 44)","(58.83468834688347, 39)","(58.12615955473099, 159)","(55.2, 49)","(54.8, 43)","(53.638122883405906, 156)"
"(68.63172226004085, 155)","(59.397089397089395, 156)","(58.646864686468646, 47)","(55.99999999999999, 46)","(53.3859649122807, 158)","(52.45187436676799, 45)","(52.0, 40)","(50.536398467432946, 39)","(50.48387096774193, 44)","(49.29979405707561, 159)"
"(65.1063829787234, 158)","(54.705882352941174, 159)","(53.91304347826087, 44)","(53.72093023255814, 39)","(53.46153846153846, 46)","(53.46153846153846, 43)","(53.44086021505376, 45)","(52.94736842105263, 42)","(52.8, 47)","(52.529761904761905, 473)"
"(48.49404761904761, 3212)","(47.30952380952381, 1876)","(46.54872881355932, 1263)","(45.01104209799862, 1913)","(44.74859943977591, 4505)","(44.6547619047619, 3563)","(44.07142857142857, 413)","(44.03265765765766, 482)","(43.797619047619044, 4126)","(43.61492673992674, 2577)"
"(53.5594262295082, 1045)","(50.0, 361)","(48.62179487179487, 236)","(48.333333333333336, 345)","(47.65425531914894, 3140)","(47.333333333333336, 15)","(47.208333333333336, 179)","(47.03265765765766, 2707)","(47.017857142857146, 217)","(46.954301075268816, 227)"
"(71.79419191919192, 185)","(45.410256410256416, 1665)","(45.03186274509804, 2245)","(42.30615942028985, 102)","(41.08991228070175, 4)","(41.06050228310502, 3456)","(40.42129629629629, 588)","(40.416666666666664, 11)","(40.207070707070706, 473)","(39.85752688172043, 257)"
"(39.8, 124)","(37.94166666666666, 79)","(37.37359943977591, 2411)","(37.314516129032256, 1422)","(36.775252525252526, 1241)","(36.455882352941174, 3606)","(36.10436210131332, 830)","(36.07774914089347, 78)","(35.75907029478458, 442)","(35.31377551020408, 796)"
"(44.628787878787875, 200)","(43.44197819314642, 65)","(43.22557471264368, 195)","(43.10049019607843, 530)","(42.99561403508772, 201)","(42.618527508090615, 304)","(41.89285714285714, 196)","(41.83333333333333, 204)","(41.506802721088434, 469)","(41.48758865248227, 194)"
"(69.01987979657882, 56)","(68.6103896103896, 823)","(58.638888888888886, 175)","(58.53787878787878, 1863)","(58.12242268041237, 140)","(57.95833333333333, 4003)","(57.791666666666664, 65)","(56.77699530516431, 474)","(55.30783866057838, 736)","(54.92261904761905, 343)"
"(71.99404761904762, 140)","(71.88141025641025, 179)","(67.85483125288951, 55)","(53.7240990990991, 343)","(53.01528314028314, 65)","(50.57894736842105, 823)","(50.01769911504425, 26)","(49.70671834625323, 474)","(49.66919191919192, 175)","(49.056372549019606, 4003)"
"(66.60891089108911, 58)","(65.25933075933077, 60)","(61.368686868686865, 61)","(49.41996699669967, 59)","(48.891025641025635, 479)","(46.423469387755105, 4480)","(46.166666666666664, 443)","(45.81460933888118, 441)","(44.26190476190476, 444)","(43.38187702265372, 33)"
"(66.2128712871287, 57)","(60.11394557823129, 59)","(57.55555555555556, 60)","(57.416666666666664, 61)","(43.004125412541256, 479)","(42.27761044176707, 62)","(41.83333333333333, 33)","(40.503787878787875, 3121)","(40.04012345679013, 807)","(39.76529535864979, 720)"
"(60.230421686746986, 62)","(60.11394557823129, 58)","(52.76851851851852, 60)","(52.58333333333333, 61)","(49.41996699669967, 57)","(48.830524344569284, 3122)","(42.361111111111114, 1238)","(38.2311738648948, 1483)","(36.39047619047619, 856)","(36.069885361552025, 859)"
"(70.44025157232704, 61)","(64.53861003861005, 57)","(57.55555555555556, 58)","(52.398148148148145, 59)","(50.570346320346324, 4480)","(49.006296733569464, 443)","(48.28787878787878, 441)","(47.976190476190474, 444)","(46.85353535353535, 3122)","(45.538978494623656, 62)"
"(71.57232704402516, 60)","(63.388888888888886, 57)","(60.333333333333336, 58)","(53.0, 59)","(47.132183908045974, 3122)","(46.90895061728395, 62)","(45.305810397553515, 443)","(44.77210884353741, 441)","(44.43527508090615, 1918)","(44.37179487179487, 1637)"
"(63.12198795180723, 59)","(54.53265765765766, 3122)","(46.829301075268816, 60)","(46.41512345679013, 61)","(45.65110441767068, 58)","(42.275, 1238)","(41.47339357429719, 1021)","(41.46996124031008, 57)","(40.79343971631205, 1811)","(37.54349816849817, 1124)"
"(68.52186468646865, 110)","(62.69736842105263, 206)","(50.61439986953686, 723)","(44.333333333333336, 64)","(42.52777777777778, 184)","(41.804263565891475, 128)","(41.15833333333333, 344)","(41.15833333333333, 339)","(39.8974358974359, 1235)","(39.172413793103445, 1795)"
"(48.35227272727273, 344)","(46.26724137931035, 184)","(46.1554054054054, 128)","(46.029411764705884, 450)","(45.76190476190476, 63)","(45.56927710843374, 206)","(44.71590909090909, 339)","(43.63636363636364, 1235)","(43.57142857142858, 2687)","(42.06327160493827, 4591)"
"(68.03888888888889, 304)","(57.375, 55)","(54.12054962171784, 823)","(53.73600386100386, 56)","(52.03174603174603, 140)","(52.008966244725734, 474)","(50.6663802978236, 179)","(50.05401234567901, 736)","(49.794178680646574, 167)","(48.79761904761905, 343)"
"(77.63690476190476, 574)","(67.70833333333334, 1814)","(65.625, 741)","(65.33333333333334, 354)","(56.05263157894737, 352)","(46.43413978494624, 561)","(46.04166666666667, 181)","(44.67892156862745, 497)","(44.291666666666664, 1819)","(43.153153153153156, 151)"
"(47.04349816849816, 3872)","(46.908018867924525, 1447)","(46.86799344066786, 1974)","(46.83170995670996, 3336)","(46.44427710843374, 1406)","(46.42763157894737, 3927)","(46.102102102102094, 3307)","(46.08002645502646, 370)","(45.984496124031004, 2571)","(45.333333333333336, 3169)"
"(62.78767123287671, 580)","(51.85519801980198, 167)","(48.63970588235294, 887)","(48.07327586206897, 513)","(47.35294117647059, 156)","(47.122191011235955, 253)","(47.06185567010309, 48)","(46.762362637362635, 726)","(46.53846153846154, 155)","(45.95454545454545, 40)"
"(67.15895061728395, 70)","(59.04078014184397, 72)","(57.80672690763053, 71)","(56.825581395348834, 615)","(52.054263565891475, 1964)","(50.22619047619048, 4639)","(49.0462962962963, 3859)","(49.03428270042195, 329)","(48.72435897435898, 209)","(47.014840182648406, 4640)"
"(69.42176870748298, 71)","(68.1466049382716, 69)","(59.8138379204893, 72)","(52.022689768976896, 1964)","(51.1266501650165, 615)","(49.335093896713616, 4639)","(47.367753623188406, 3859)","(43.69202898550724, 359)","(41.54166666666667, 4117)","(41.285256410256416, 3648)"
"(67.38095238095238, 70)","(59.109234234234236, 72)","(56.842871485943775, 69)","(49.78681229773463, 615)","(44.36479591836735, 4117)","(43.831043956043956, 4402)","(43.55316091954023, 4092)","(43.09722222222222, 248)","(43.0933908045977, 4135)","(42.86007462686567, 3648)"
"(58.028153153153156, 71)","(57.3386524822695, 69)","(56.87805810397553, 70)","(50.53947368421052, 615)","(43.47094801223242, 4117)","(42.41496598639456, 4135)","(42.254901960784316, 4402)","(41.390350877192986, 1964)","(41.208333333333336, 424)","(41.19496855345912, 209)"
"(46.08333333333333, 132)","(43.064393939393945, 4255)","(42.19415807560137, 1209)","(39.46626984126984, 613)","(39.22587719298246, 6095)","(38.70833333333333, 2016)","(38.416666666666664, 5616)","(38.363945578231295, 1316)","(38.300324675324674, 92)","(38.03517316017316, 400)"
"(74.31866197183098, 1150)","(61.22362869198312, 2097)","(56.271196283391404, 1020)","(52.02749140893471, 75)","(50.1780303030303, 77)","(49.123456790123456, 2096)","(48.619369369369366, 1962)","(47.301829268292686, 1613)","(46.28742937853107, 183)","(44.96078431372548, 312)"
"(56.45157657657657, 183)","(56.2518115942029, 77)","(52.02749140893471, 74)","(51.13333333333333, 312)","(50.70274914089347, 1020)","(48.613295880149806, 1962)","(48.58333333333333, 2096)","(44.41025641025641, 5322)","(43.888888888888886, 343)","(43.8687106918239, 236)"
"(43.4937106918239, 728)","(42.5886524822695, 342)","(42.47126436781609, 341)","(41.729559748427675, 265)","(40.04824561403509, 5876)","(39.090635738831615, 2345)","(38.676975945017176, 351)","(38.17261904761905, 4669)","(37.95663265306122, 5231)","(37.94117647058823, 289)"
"(57.77777777777777, 183)","(56.68659420289855, 75)","(51.21699134199134, 74)","(50.85515873015873, 1000)","(50.20833333333333, 312)","(49.75, 219)","(49.020604395604394, 154)","(48.96234939759036, 41)","(48.42324561403508, 2096)","(48.36958874458874, 1020)"
"(79.04761904761904, 79)","(56.888888888888886, 1710)","(42.166666666666664, 730)","(41.34626436781609, 3002)","(41.0974025974026, 5825)","(40.513888888888886, 4790)","(40.31205673758865, 2067)","(39.148809523809526, 252)","(38.5198087431694, 2079)","(38.13960481099656, 53)"
"(78.16849816849816, 78)","(52.064516129032256, 1710)","(44.76449275362319, 3240)","(44.35271317829457, 6031)","(43.647619047619045, 1168)","(43.55434782608695, 869)","(43.05072463768116, 345)","(42.98611111111111, 3002)","(42.92324561403508, 4738)","(42.611635220125784, 201)"
"(48.81375502008032, 1001)","(41.81089743589743, 698)","(39.90731292517007, 961)","(36.03921568627451, 2688)","(35.73647186147186, 2158)","(35.601190476190474, 223)","(35.349999999999994, 998)","(34.988095238095234, 2139)","(34.77813852813853, 1937)","(34.77777777777778, 390)"
"(78.1782945736434, 82)","(76.20645645645645, 254)","(60.23913043478261, 153)","(58.26580459770115, 149)","(55.5189393939394, 1216)","(53.428030303030305, 1217)","(52.06464174454828, 1807)","(49.37316561844864, 589)","(48.58792048929664, 238)","(48.02770935960591, 133)"
"(75.85271317829458, 81)","(75.46604938271605, 254)","(57.85745614035088, 149)","(55.40277777777778, 1216)","(55.33333333333333, 153)","(54.57295783926219, 1217)","(49.9264705882353, 239)","(47.594298245614034, 133)","(47.28164556962025, 238)","(47.0974025974026, 500)"
"(49.408018867924525, 451)","(43.93502824858757, 314)","(43.54824561403509, 611)","(43.217948717948715, 316)","(43.19197819314642, 311)","(42.96153846153846, 448)","(42.916666666666664, 1847)","(42.916666666666664, 581)","(42.88074712643678, 445)","(42.87205014749262, 1276)"
"(38.04849726775956, 1292)","(36.664954337899545, 1249)","(35.6996855345912, 4507)","(35.36128691983122, 1064)","(34.291666666666664, 942)","(34.00925925925926, 3058)","(33.88447971781305, 1344)","(33.59229957805907, 2489)","(33.541666666666664, 3168)","(33.50490196078431, 2238)"
"(46.39285714285714, 4729)","(46.06578947368421, 3918)","(46.00704225352113, 413)","(46.0018115942029, 5543)","(45.59420289855072, 1857)","(45.125, 5601)","(44.79417670682731, 4342)","(44.78760162601626, 309)","(44.61622807017544, 1263)","(44.60606060606061, 1830)"
"(78.15833333333333, 465)","(68.58928571428572, 287)","(43.64393939393939, 579)","(41.74099099099099, 2661)","(41.65796857463524, 316)","(39.20375457875458, 440)","(39.11858974358974, 663)","(38.27927927927928, 2926)","(37.970238095238095, 311)","(37.95833333333333, 317)"
"(73.16831683168317, 88)","(45.81196581196581, 119)","(45.08474576271186, 117)","(44.524011299435024, 144)","(44.08163265306123, 2602)","(42.935103244837755, 163)","(42.842948717948715, 1660)","(41.79692556634304, 442)","(41.58001474926253, 292)","(40.99873737373737, 1737)"
"(75.14851485148515, 87)","(45.09803921568627, 119)","(45.073624595469255, 144)","(44.271844660194176, 117)","(42.89156626506024, 2602)","(41.59863945578231, 163)","(41.579301075268816, 762)","(41.05383895131086, 1660)","(40.66542288557214, 3320)","(40.51445578231292, 292)"
"(87.52932098765432, 1033)","(70.76063829787233, 289)","(62.14214308028741, 163)","(59.20114199525964, 90)","(58.89455782312925, 91)","(56.86217948717949, 166)","(51.73395445134575, 162)","(50.43604651162791, 1061)","(46.57122454048684, 762)","(44.64181286549707, 403)"
"(80.25062656641605, 91)","(78.72557471264368, 166)","(72.9505582137161, 162)","(64.12584934964084, 289)","(58.30788144603934, 290)","(57.28776125834949, 89)","(55.83333333333333, 163)","(54.30882352941177, 243)","(52.65638528138528, 1033)","(51.11635220125786, 95)"
"(80.13031914893617, 166)","(78.92731829573935, 90)","(74.38679245283018, 162)","(64.72354497354497, 289)","(59.53066037735849, 290)","(55.62925170068027, 89)","(54.65349965349965, 163)","(53.7687969924812, 243)","(52.713118022328544, 1033)","(50.30406171999092, 95)"
"(71.89850427350427, 182)","(55.12703962703962, 400)","(55.01028138528138, 5149)","(53.24358974358974, 5709)","(50.26580459770115, 2256)","(48.3171036204744, 477)","(47.99272486772486, 888)","(43.65786749482402, 325)","(43.58712121212121, 95)","(43.089285714285715, 132)"
"(51.81375502008032, 249)","(43.89390034364261, 126)","(43.8525641025641, 1854)","(43.25, 2207)","(42.56317204301075, 1321)","(42.33333333333333, 808)","(42.253787878787875, 157)","(41.513888888888886, 264)","(40.73376623376623, 4706)","(40.287634408602145, 183)"
"(64.70646766169153, 95)","(60.3030303030303, 2521)","(59.583333333333336, 888)","(58.46969696969697, 2256)","(47.553030303030305, 182)","(47.01631701631702, 91)","(45.708333333333336, 166)","(45.44444444444444, 1944)","(45.1686507936508, 807)","(44.89532520325203, 92)"
"(61.124378109452735, 94)","(52.436403508771924, 166)","(52.0739732244157, 91)","(50.57398753894081, 888)","(50.251126126126124, 1666)","(50.055810397553515, 289)","(49.31464174454828, 162)","(49.22955974842767, 90)","(49.166666666666664, 2521)","(49.0811209439528, 2256)"
"(63.367063492063494, 97)","(62.38743781094527, 702)","(59.075, 701)","(58.66287878787879, 98)","(52.20880149812734, 2345)","(48.18534482758621, 5876)","(47.44979919678715, 383)","(47.0, 1666)","(46.29343971631205, 289)","(45.30527210884354, 91)"
"(71.93650793650794, 701)","(65.4054054054054, 702)","(64.10780423280423, 96)","(63.333333333333336, 98)","(53.109848484848484, 1666)","(51.465395480225986, 2345)","(50.8768115942029, 95)","(49.874716553287975, 341)","(46.83333333333333, 289)","(46.20833333333333, 477)"
"(76.60818713450291, 701)","(64.44444444444444, 97)","(62.44897959183673, 702)","(58.05681818181818, 96)","(56.262994634473515, 2345)","(51.80448717948718, 1666)","(49.43827160493827, 95)","(44.0619918699187, 477)","(44.0316091954023, 968)","(43.922619047619044, 511)"
"(41.851190476190474, 3681)","(41.486635220125784, 1199)","(40.610632183908045, 838)","(40.541666666666664, 1132)","(40.40889830508474, 5467)","(39.98070607553366, 786)","(39.90530303030303, 1039)","(39.436274509803916, 1669)","(39.288978494623656, 5434)","(39.119623655913976, 1491)"
"(73.37606837606837, 379)","(71.18577075098814, 377)","(69.61538461538461, 378)","(64.01722391084093, 374)","(55.53333333333333, 4823)","(54.34782608695652, 380)","(52.03395061728395, 385)","(51.17343649258543, 102)","(48.87499999999999, 384)","(47.509803921568626, 105)"
"(75.54001554001553, 372)","(65.36082474226805, 373)","(62.359848484848484, 5758)","(59.43223443223444, 375)","(58.563644688644686, 6066)","(57.93906810035842, 104)","(53.5198087431694, 5759)","(52.40036231884058, 3074)","(47.568661971830984, 891)","(47.54385964912281, 176)"
"(74.0392156862745, 103)","(55.21689497716895, 381)","(53.27715355805243, 379)","(52.69607843137255, 378)","(51.9047619047619, 377)","(49.896840747904584, 100)","(49.14239926739927, 384)","(46.0, 380)","(45.2399235069138, 915)","(45.12130801687764, 385)"
"(80.50980392156862, 102)","(54.60606060606061, 377)","(54.473789515806324, 381)","(53.10256410256411, 379)","(51.50829562594269, 378)","(50.08203933747413, 384)","(49.54545454545454, 380)","(49.416666666666664, 385)","(47.291666666666664, 158)","(46.761904761904766, 100)"
